GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rollercoaster,com.java.rollercoaster.errorenum,ErrorEnum,11,576,0,0,5,54,3,5,3,5
rollercoaster,com.java.rollercoaster.errorenum,BusinessException,4,13,0,0,1,5,1,3,1,3
rollercoaster,com.java.rollercoaster.controller,UserController,0,130,0,2,0,30,0,6,0,5
rollercoaster,com.java.rollercoaster.controller,ManagerController,0,150,0,0,0,41,0,18,0,18
rollercoaster,com.java.rollercoaster.controller,CommentController,0,78,0,12,0,19,0,10,0,4
rollercoaster,com.java.rollercoaster.controller,WeatherController,0,56,0,6,0,18,0,5,0,2
rollercoaster,com.java.rollercoaster.controller,TicketController,0,254,0,28,0,64,0,19,0,5
rollercoaster,com.java.rollercoaster.controller,QueryController,0,35,0,0,0,10,0,5,0,5
rollercoaster,com.java.rollercoaster.controller,BalanceController,0,95,0,0,0,23,0,6,0,6
rollercoaster,com.java.rollercoaster.controller,QuickPassController,0,168,0,18,0,48,0,13,0,4
rollercoaster,com.java.rollercoaster.controller,AppointmentController,0,227,0,28,0,65,0,19,0,5
rollercoaster,com.java.rollercoaster.controller,TicketPriceController,0,28,0,2,0,7,0,4,0,3
rollercoaster,com.java.rollercoaster.controller,RatingController,0,42,0,6,0,12,0,5,0,2
rollercoaster,com.java.rollercoaster.controller,AnnouncementController,0,9,0,0,0,2,0,2,0,2
rollercoaster,com.java.rollercoaster.controller,BaseController,0,3,0,0,0,1,0,1,0,1
rollercoaster,com.java.rollercoaster.service.impl,RatingServiceImpl,0,73,0,8,0,14,0,6,0,2
rollercoaster,com.java.rollercoaster.service.impl,MailServiceImpl.new Authenticator() {...},0,12,0,0,0,2,0,2,0,2
rollercoaster,com.java.rollercoaster.service.impl,MailServiceImpl.new Authenticator() {...},0,12,0,0,0,2,0,2,0,2
rollercoaster,com.java.rollercoaster.service.impl,MailServiceImpl,0,200,0,0,0,49,0,3,0,3
rollercoaster,com.java.rollercoaster.service.impl,ManageParkServiceImpl,0,131,0,24,0,37,0,19,0,7
rollercoaster,com.java.rollercoaster.service.impl,CommentServiceImpl,0,68,0,6,0,20,0,8,0,5
rollercoaster,com.java.rollercoaster.service.impl,TicketPriceServiceImpl,0,34,0,4,0,7,0,6,0,4
rollercoaster,com.java.rollercoaster.service.impl,TicketServiceImpl,0,200,0,24,0,44,0,17,0,5
rollercoaster,com.java.rollercoaster.service.impl,BalanceServiceImpl,0,298,0,32,0,75,0,22,0,6
rollercoaster,com.java.rollercoaster.service.impl,AppointmentServiceImpl,0,341,0,34,0,87,0,23,0,6
rollercoaster,com.java.rollercoaster.service.impl,UserServiceImpl,0,210,0,14,0,55,0,14,0,7
rollercoaster,com.java.rollercoaster.service.impl,WeatherServiceImpl,0,212,0,6,0,40,0,5,0,2
rollercoaster,com.java.rollercoaster.service.impl,AnnouncementServiceImpl,0,84,0,12,0,19,0,10,0,4
rollercoaster,com.java.rollercoaster.service.impl,CheckInServiceImpl,0,111,0,16,0,29,0,12,0,4
rollercoaster,com.java.rollercoaster.service.impl,StatisticCollectionServiceImpl,0,345,0,42,0,74,0,28,0,7
rollercoaster,com.java.rollercoaster.service.impl,QueryServiceImpl,0,251,0,12,0,60,0,11,0,5
rollercoaster,com.java.rollercoaster.service.impl,QuickPassServiceImpl,0,126,0,16,0,27,0,12,0,4
rollercoaster,com.java.rollercoaster,MybatisGenerator,24,0,0,0,5,0,1,0,1,0
rollercoaster,com.java.rollercoaster,RollerCoasterApplication,8,3,0,0,3,1,1,1,1,1
rollercoaster,com.java.rollercoaster,ServletInitializer,12,0,0,0,2,0,2,0,2,0
rollercoaster,com.java.rollercoaster.configure,WebMvcConfigure,0,36,0,0,0,6,0,2,0,2
rollercoaster,com.java.rollercoaster.response,CommonReturnType,0,43,0,2,0,15,0,9,0,8
